date,cases,deaths
1/1/2020,0,0
1/2/2020,0,0
1/3/2020,0,0
1/4/2020,0,0
1/5/2020,0,0
1/6/2020,0,0
1/7/2020,0,0
1/8/2020,0,0
1/9/2020,0,0
1/10/2020,0,0
1/11/2020,0,0
1/12/2020,0,0
1/13/2020,0,0
1/14/2020,0,0
1/15/2020,0,0
1/16/2020,0,0
1/17/2020,0,0
1/18/2020,0,0
1/19/2020,0,0
1/20/2020,0,0
1/21/2020,0,0
1/22/2020,0,0
1/23/2020,100,1
1/24/2020,287,8
1/25/2020,493,16
1/26/2020,683,14
1/27/2020,809,26
1/28/2020,2651,49
1/29/2020,589,2
1/30/2020,2068,38
1/31/2020,1690,42
2/1/2020,2111,46
2/2/2020,4749,103
2/3/2020,3100,64
2/4/2020,4012,66
2/5/2020,3745,72
2/6/2020,3162,70
2/7/2020,3533,85
2/8/2020,2731,87
2/9/2020,3028,100
2/10/2020,2538,107
2/11/2020,2043,100
2/12/2020,378,5
2/13/2020,15152,253
2/14/2020,6485,152
2/15/2020,2076,143
2/16/2020,2113,104
2/17/2020,1936,98
2/18/2020,1794,140
2/19/2020,421,115
2/20/2020,548,123
2/21/2020,630,4
2/22/2020,1762,207
2/23/2020,325,10
2/24/2020,568,160
2/25/2020,855,80
2/26/2020,964,60
2/27/2020,1359,43
2/28/2020,1399,57
2/29/2020,1894,70
3/1/2020,2380,54
3/2/2020,1979,89
3/3/2020,2609,74
3/4/2020,2339,95
3/5/2020,2828,93
3/6/2020,3933,113
3/7/2020,4125,105
3/8/2020,3928,241
3/9/2020,4198,190
3/10/2020,4906,276
3/11/2020,7728,344
3/12/2020,6123,310
3/13/2020,14194,494
3/14/2020,11121,422
3/15/2020,11426,646
3/16/2020,14821,693
3/17/2020,16138,817
3/18/2020,19678,920
3/19/2020,27308,1120
3/20/2020,31116,1500
3/21/2020,32081,1730
3/22/2020,35185,1690
3/23/2020,43025,1965
3/24/2020,41265,2319
3/25/2020,51334,2835
3/26/2020,63075,3051
3/27/2020,65090,3500
3/28/2020,69674,3855
3/29/2020,56666,3500
3/30/2020,65288,4103
3/31/2020,77195,4768
4/1/2020,82021,6046
4/2/2020,83031,5926
4/3/2020,84153,6248
4/4/2020,75933,6223
4/5/2020,70079,5266
4/6/2020,74018,5999
4/7/2020,72898,8382
4/8/2020,83493,6905
4/9/2020,86645,7883
4/10/2020,85177,7457
4/11/2020,74003,6348
4/12/2020,118896,5995
4/13/2020,71283,6099
4/14/2020,83729,7145
4/15/2020,78667,8587
4/16/2020,94417,7408
4/17/2020,87995,8571
4/18/2020,76561,6251
4/19/2020,76016,5379
4/20/2020,75989,6069
4/21/2020,75664,7364
4/22/2020,82018,7028
4/23/2020,84422,6985
4/24/2020,93555,6900
4/25/2020,82929,5888
4/26/2020,70356,4252
4/27/2020,70893,4910
4/28/2020,75834,6819
4/29/2020,79105,6911
4/30/2020,83794,6045
5/1/2020,88445,5466
5/2/2020,78466,5850
5/3/2020,74090,3841
5/4/2020,77195,4450
5/5/2020,79778,6099
5/6/2020,90730,6864
5/7/2020,90238,5669
5/8/2020,91860,5895
5/9/2020,84057,4553
5/10/2020,75123,4046
5/11/2020,76342,3894
5/12/2020,85002,5846
