date,continent,cases,deaths
2/7/2020,Africa,0,0
2/8/2020,Africa,0,0
2/9/2020,Africa,0,0
2/10/2020,Africa,0,0
2/11/2020,Africa,0,0
2/12/2020,Africa,0,0
2/13/2020,Africa,0,0
2/14/2020,Africa,1,0
2/15/2020,Africa,0,0
2/16/2020,Africa,0,0
2/17/2020,Africa,0,0
2/18/2020,Africa,0,0
2/19/2020,Africa,0,0
2/20/2020,Africa,0,0
2/21/2020,Africa,0,0
2/22/2020,Africa,0,0
2/23/2020,Africa,0,0
2/24/2020,Africa,0,0
2/25/2020,Africa,1,0
2/26/2020,Africa,0,0
2/27/2020,Africa,0,0
2/28/2020,Africa,1,0
2/29/2020,Africa,0,0
3/1/2020,Africa,1,0
3/2/2020,Africa,4,0
3/3/2020,Africa,3,0
3/4/2020,Africa,10,0
3/5/2020,Africa,3,0
3/6/2020,Africa,19,0
3/7/2020,Africa,0,0
3/8/2020,Africa,40,1
3/9/2020,Africa,8,0
3/10/2020,Africa,13,1
3/11/2020,Africa,14,0
3/12/2020,Africa,16,1
3/13/2020,Africa,42,3
3/14/2020,Africa,76,1
3/15/2020,Africa,65,1
3/16/2020,Africa,87,0
3/17/2020,Africa,88,3
3/18/2020,Africa,118,6
3/19/2020,Africa,178,3
3/20/2020,Africa,182,6
3/21/2020,Africa,206,9
3/22/2020,Africa,253,11
3/23/2020,Africa,383,9
3/24/2020,Africa,438,7
3/25/2020,Africa,523,11
3/26/2020,Africa,526,18
3/27/2020,Africa,580,24
3/28/2020,Africa,343,19
3/29/2020,Africa,564,17
3/30/2020,Africa,395,21
3/31/2020,Africa,586,26
4/1/2020,Africa,599,35
4/2/2020,Africa,656,52
4/3/2020,Africa,881,46
4/4/2020,Africa,682,51
4/5/2020,Africa,685,60
4/6/2020,Africa,716,45
4/7/2020,Africa,628,46
4/8/2020,Africa,806,40
4/9/2020,Africa,793,54
4/10/2020,Africa,694,63
4/11/2020,Africa,714,52
4/12/2020,Africa,869,46
4/13/2020,Africa,772,45
4/14/2020,Africa,971,40
4/15/2020,Africa,965,37
4/16/2020,Africa,1168,55
4/17/2020,Africa,1403,50
4/18/2020,Africa,1309,43
4/19/2020,Africa,1197,62
4/20/2020,Africa,1163,39
4/21/2020,Africa,1076,30
4/22/2020,Africa,1403,51
4/23/2020,Africa,1437,57
4/24/2020,Africa,1705,27
4/25/2020,Africa,1244,48
4/26/2020,Africa,1532,50
4/27/2020,Africa,1337,39
4/28/2020,Africa,1619,61
4/29/2020,Africa,2023,66
4/30/2020,Africa,1946,46
5/1/2020,Africa,1715,56
5/2/2020,Africa,2243,69
5/3/2020,Africa,1592,37
5/4/2020,Africa,2654,46
5/5/2020,Africa,2042,64
5/6/2020,Africa,2542,100
5/7/2020,Africa,2487,67
5/8/2020,Africa,3625,81
5/9/2020,Africa,2860,67
5/10/2020,Africa,2579,69
5/11/2020,Africa,3066,54
5/12/2020,Africa,3167,51
5/13/2020,Africa,2914,98
5/14/2020,Africa,3118,69
5/15/2020,Africa,2926,62
5/16/2020,Africa,3003,84
5/17/2020,Africa,3314,50
5/18/2020,Africa,3668,73
5/19/2020,Africa,3220,75
5/20/2020,Africa,3791,84
5/21/2020,Africa,4799,105
5/22/2020,Africa,3868,88
5/23/2020,Africa,3865,72
5/24/2020,Africa,4120,99
5/25/2020,Africa,4128,125
5/26/2020,Africa,3711,112
5/27/2020,Africa,5080,107
5/28/2020,Africa,4916,93
5/29/2020,Africa,5746,131
5/30/2020,Africa,6118,147
5/31/2020,Africa,5247,153
6/1/2020,Africa,5785,121
6/2/2020,Africa,4878,150
6/3/2020,Africa,5097,108
6/4/2020,Africa,7106,155
6/5/2020,Africa,7186,157
6/6/2020,Africa,6599,142
6/7/2020,Africa,6334,133
6/8/2020,Africa,6651,175
6/9/2020,Africa,6470,174
6/10/2020,Africa,6545,151
6/11/2020,Africa,7403,163
6/12/2020,Africa,8079,198
6/13/2020,Africa,8087,204
6/14/2020,Africa,8780,206
6/15/2020,Africa,9593,302
6/16/2020,Africa,7642,254
6/17/2020,Africa,8736,203
6/18/2020,Africa,8235,201
6/19/2020,Africa,9813,263
6/20/2020,Africa,11349,236
6/21/2020,Africa,9437,196
6/22/2020,Africa,8987,224
6/23/2020,Africa,9076,282
6/24/2020,Africa,11349,235
6/25/2020,Africa,11942,214
6/26/2020,Africa,11598,213
6/27/2020,Africa,12237,202
6/28/2020,Africa,10608,179
6/29/2020,Africa,11130,214
6/30/2020,Africa,11608,269
7/1/2020,Africa,13213,258
7/2/2020,Africa,14202,239
7/3/2020,Africa,15160,239
7/4/2020,Africa,15485,201
7/5/2020,Africa,13635,280
7/6/2020,Africa,13740,247
7/7/2020,Africa,17466,365
7/8/2020,Africa,14743,257
7/9/2020,Africa,19190,225
7/10/2020,Africa,17705,306
7/11/2020,Africa,18786,225
7/12/2020,Africa,16717,253
7/13/2020,Africa,16069,222
7/14/2020,Africa,14450,299
7/15/2020,Africa,18032,226
7/16/2020,Africa,20445,368
7/17/2020,Africa,19539,316
7/18/2020,Africa,19012,281
7/19/2020,Africa,18569,216
7/20/2020,Africa,15512,254
7/21/2020,Africa,13879,314
7/22/2020,Africa,19609,708
7/23/2020,Africa,18470,268
7/24/2020,Africa,22095,391
7/25/2020,Africa,18144,417
7/26/2020,Africa,18308,244
7/27/2020,Africa,13454,410
7/28/2020,Africa,13501,322
7/29/2020,Africa,17640,367
7/30/2020,Africa,17417,456
7/31/2020,Africa,19002,363
8/1/2020,Africa,16922,294
8/2/2020,Africa,12734,330
8/3/2020,Africa,10864,322
8/4/2020,Africa,9920,473
8/5/2020,Africa,15359,539
8/6/2020,Africa,14330,431
8/7/2020,Africa,13489,439
8/8/2020,Africa,14222,412
8/9/2020,Africa,12357,359
8/10/2020,Africa,9132,319
8/11/2020,Africa,7875,267
8/12/2020,Africa,9256,409
8/13/2020,Africa,10405,408
8/14/2020,Africa,12544,416
8/15/2020,Africa,11812,240
8/16/2020,Africa,9958,295
8/17/2020,Africa,8852,264
8/18/2020,Africa,8652,415
8/19/2020,Africa,10890,328
8/20/2020,Africa,10612,337
8/21/2020,Africa,10273,352
8/22/2020,Africa,10433,274
8/23/2020,Africa,9053,182
8/24/2020,Africa,7612,220
8/25/2020,Africa,7537,283
8/26/2020,Africa,8856,319
8/27/2020,Africa,8548,253
8/28/2020,Africa,8109,231
8/29/2020,Africa,8364,331
8/30/2020,Africa,8470,164
8/31/2020,Africa,6813,226
9/1/2020,Africa,7163,242
9/2/2020,Africa,8714,265
9/3/2020,Africa,7746,297
9/4/2020,Africa,8579,239
9/5/2020,Africa,7392,225
9/6/2020,Africa,7822,224
9/7/2020,Africa,6873,218
9/8/2020,Africa,7679,226
9/9/2020,Africa,8294,192
9/10/2020,Africa,8048,216
9/11/2020,Africa,8695,231
9/12/2020,Africa,7408,146
9/13/2020,Africa,6745,121
9/14/2020,Africa,6481,171
9/15/2020,Africa,6556,277
9/16/2020,Africa,7327,179
9/17/2020,Africa,8602,179
9/18/2020,Africa,8168,193
9/19/2020,Africa,8728,202
9/20/2020,Africa,8420,133
9/21/2020,Africa,6146,126
9/22/2020,Africa,6838,240
9/23/2020,Africa,8726,209
9/24/2020,Africa,8186,175
9/25/2020,Africa,7978,154
9/26/2020,Africa,6412,168
9/27/2020,Africa,8368,135
9/28/2020,Africa,5667,294
9/29/2020,Africa,7511,217
9/30/2020,Africa,8430,189
10/1/2020,Africa,7265,217
10/2/2020,Africa,8849,149
10/3/2020,Africa,8828,111
10/4/2020,Africa,8093,170
10/5/2020,Africa,4707,128
10/6/2020,Africa,6595,188
10/7/2020,Africa,10554,269
10/8/2020,Africa,10904,301
10/9/2020,Africa,8563,236
10/10/2020,Africa,13531,271
10/11/2020,Africa,8978,208
10/12/2020,Africa,5877,193
10/13/2020,Africa,7840,271
10/14/2020,Africa,11512,263
10/15/2020,Africa,9107,254
10/16/2020,Africa,10680,207
10/17/2020,Africa,14267,265
10/18/2020,Africa,8193,185
10/19/2020,Africa,9685,184
10/20/2020,Africa,9787,298
10/21/2020,Africa,10479,252
10/22/2020,Africa,10966,216
10/23/2020,Africa,10418,224
10/24/2020,Africa,11761,223
10/25/2020,Africa,9096,116
10/26/2020,Africa,10691,348
10/27/2020,Africa,8672,182
10/28/2020,Africa,11903,346
10/29/2020,Africa,11066,202
10/30/2020,Africa,13604,292
10/31/2020,Africa,11074,224
11/1/2020,Africa,10293,322
11/2/2020,Africa,7576,214
11/3/2020,Africa,10875,316
11/4/2020,Africa,14009,235
11/5/2020,Africa,15391,304
11/6/2020,Africa,11718,223
11/7/2020,Africa,15019,378
11/8/2020,Africa,12504,516
11/9/2020,Africa,8897,249
11/10/2020,Africa,13164,341
11/11/2020,Africa,14017,332
11/12/2020,Africa,15757,269
11/13/2020,Africa,14663,280
11/14/2020,Africa,14087,235
11/15/2020,Africa,12560,296
11/16/2020,Africa,10317,279
11/17/2020,Africa,12873,393
11/18/2020,Africa,15285,392
11/19/2020,Africa,13926,276
11/20/2020,Africa,15744,412
11/21/2020,Africa,13357,314
11/22/2020,Africa,12795,290
11/23/2020,Africa,10075,269
11/24/2020,Africa,12504,344
11/25/2020,Africa,14646,315
11/26/2020,Africa,13933,298
11/27/2020,Africa,16039,320
11/28/2020,Africa,13401,235
11/29/2020,Africa,13077,224
11/30/2020,Africa,10341,269
