date,continent,country,cases,deaths
2/25/2020,Africa,Algeria,1,0
2/26/2020,Africa,Algeria,0,0
2/27/2020,Africa,Algeria,0,0
2/28/2020,Africa,Algeria,0,0
2/29/2020,Africa,Algeria,0,0
3/1/2020,Africa,Algeria,0,0
3/2/2020,Africa,Algeria,2,0
3/3/2020,Africa,Algeria,2,0
3/4/2020,Africa,Algeria,7,0
3/5/2020,Africa,Algeria,0,0
3/6/2020,Africa,Algeria,5,0
3/7/2020,Africa,Algeria,0,0
3/8/2020,Africa,Algeria,2,0
3/9/2020,Africa,Algeria,1,0
3/10/2020,Africa,Algeria,0,0
3/11/2020,Africa,Algeria,0,0
3/12/2020,Africa,Algeria,4,1
3/13/2020,Africa,Algeria,2,1
3/14/2020,Africa,Algeria,11,1
3/15/2020,Africa,Algeria,11,1
3/16/2020,Africa,Algeria,6,0
3/17/2020,Africa,Algeria,6,0
3/18/2020,Africa,Algeria,14,3
3/19/2020,Africa,Algeria,13,2
3/20/2020,Africa,Algeria,3,2
3/21/2020,Africa,Algeria,49,4
3/22/2020,Africa,Algeria,62,2
3/23/2020,Africa,Algeria,29,0
3/24/2020,Africa,Algeria,34,2
3/25/2020,Africa,Algeria,38,2
3/26/2020,Africa,Algeria,65,4
3/27/2020,Africa,Algeria,42,1
3/28/2020,Africa,Algeria,45,3
3/29/2020,Africa,Algeria,57,2
3/30/2020,Africa,Algeria,73,4
3/31/2020,Africa,Algeria,132,9
4/1/2020,Africa,Algeria,131,14
4/2/2020,Africa,Algeria,139,28
4/3/2020,Africa,Algeria,185,19
4/4/2020,Africa,Algeria,80,25
4/5/2020,Africa,Algeria,69,22
4/6/2020,Africa,Algeria,103,21
4/7/2020,Africa,Algeria,45,20
4/8/2020,Africa,Algeria,104,12
4/9/2020,Africa,Algeria,94,30
4/10/2020,Africa,Algeria,95,21
4/11/2020,Africa,Algeria,64,19
4/12/2020,Africa,Algeria,89,18
4/13/2020,Africa,Algeria,69,20
4/14/2020,Africa,Algeria,87,13
4/15/2020,Africa,Algeria,90,10
4/16/2020,Africa,Algeria,108,12
4/17/2020,Africa,Algeria,150,16
4/18/2020,Africa,Algeria,116,3
4/19/2020,Africa,Algeria,95,8
4/20/2020,Africa,Algeria,89,9
4/21/2020,Africa,Algeria,93,8
4/22/2020,Africa,Algeria,99,10
4/23/2020,Africa,Algeria,97,5
4/24/2020,Africa,Algeria,120,8
4/25/2020,Africa,Algeria,129,4
4/26/2020,Africa,Algeria,126,6
4/27/2020,Africa,Algeria,135,7
4/28/2020,Africa,Algeria,132,5
4/29/2020,Africa,Algeria,199,7
4/30/2020,Africa,Algeria,158,6
5/1/2020,Africa,Algeria,148,3
5/2/2020,Africa,Algeria,141,6
5/3/2020,Africa,Algeria,179,4
5/4/2020,Africa,Algeria,174,2
5/5/2020,Africa,Algeria,190,5
5/6/2020,Africa,Algeria,159,6
5/7/2020,Africa,Algeria,185,7
5/8/2020,Africa,Algeria,187,5
5/9/2020,Africa,Algeria,189,6
5/10/2020,Africa,Algeria,165,8
5/11/2020,Africa,Algeria,168,5
5/12/2020,Africa,Algeria,176,8
5/13/2020,Africa,Algeria,186,7
5/14/2020,Africa,Algeria,189,7
5/15/2020,Africa,Algeria,187,7
5/16/2020,Africa,Algeria,192,6
5/17/2020,Africa,Algeria,198,6
5/18/2020,Africa,Algeria,182,7
5/19/2020,Africa,Algeria,176,6
5/20/2020,Africa,Algeria,165,7
5/21/2020,Africa,Algeria,186,7
5/22/2020,Africa,Algeria,190,7
5/23/2020,Africa,Algeria,195,10
5/24/2020,Africa,Algeria,193,8
5/25/2020,Africa,Algeria,197,9
